,freq,prob
ɑː,1070,0.00015546622140365948
ɑːɲ,25,3.6323883505527915e-06
ɑːɲt,5,7.264776701105583e-07
ɑːɜ˞,4688,0.0006811454634956595
ɑːʃ,0,0.0
ɑːf,1344,0.00019527719772571806
ɑːft,1,1.4529553402211165e-07
ɑːk,20,2.905910680442233e-06
ɑːm,135,1.9614897092985074e-05
ɑːmd,41,5.957116894906578e-06
ɑːmz,149,2.1649034569294637e-05
ɑːn,319,4.634927535305362e-05
ɑːnt,106,1.5401326606343835e-05
ɑːnts,4,5.811821360884466e-07
ɑːsk,224,3.254619962095301e-05
ɑːsks,44,6.393003496972913e-06
ɑːskt,466,6.770771885430403e-05
ɑːt,168,2.4409649715714758e-05
ɑːts,46,6.683594565017136e-06
ɔː,1732,0.0002516518649262974
ɔːɜ˞,4273,0.0006208478168764831
ɔːd,6,8.7177320413267e-07
ɔːk,8,1.1623642721768932e-06
ɔːl,6569,0.0009544463629912515
ɔːt,99,1.4384257868189053e-05
ɔːz,3,4.35886602066335e-07
eɪ,72971,0.01060236041312751
eɪɲ,2522,0.0003664353368037656
eɪdʒ,251,3.6469179039550024e-05
eɪdʒd,48,6.97418563306136e-06
eɪd,65,9.444209711437258e-06
eɪdz,11,1.5982508742432282e-06
eɪk,18,2.61531961239801e-06
eɪks,7,1.0170687381547816e-06
eɪl,15,2.1794330103316747e-06
eɪm,49,7.119481167083471e-06
eɪmz,23,3.341797282508568e-06
eɪn,109,1.583721320841017e-05
eɪnt,27,3.922979418597014e-06
eɪt,229,3.327267729106357e-05
eɪtθ,9,1.307659806199005e-06
eɪts,22,3.1965017484864563e-06
aɪ,23822,0.003461230211474744
aɪd,262,3.806742991379325e-05
aɪl,272,3.9520385254014374e-05
aɪlz,10,1.4529553402211166e-06
aɪm,672,9.763859886285903e-05
aɪs,64,9.298914177415145e-06
aɪv,313,4.547750214892095e-05
aɪz,398,5.782762254080044e-05
ɜː,1003,0.000145731420624178
ɜːθ,179,2.6007900589957986e-05
ɜːdʒ,21,3.0512062144643447e-06
ɔɪ,12,1.74354640826534e-06
ɔɪl,125,1.8161941752763955e-05
əʊ,5824,0.0008462011901447783
əʊk,14,2.034137476309563e-06
əʊl,117,1.6999577480587063e-05
əʊld,762,0.00011071519692484908
əʊn,2667,0.0003875031892369718
əʊnd,35,5.085343690773908e-06
əʊp,33,4.794752622729685e-06
əʊt,2,2.905910680442233e-07
aʊ,1815,0.00026371139425013267
aʊt,3211,0.0004665439597450005
ɪə,39,5.666525826862354e-06
ɛə,553,8.034843031422774e-05
ɛəɜ˞,264,3.835802098183748e-05
ə,19566,0.0028428524186766366
əɜ˞,3164,0.0004597150696459613
əb,463,6.72718322522377e-05
əd,1152,0.00016738045519347264
ək,338,4.910989049947374e-05
əl,391,5.6810553802645655e-05
əlz,37,5.375934758818131e-06
əm,28,4.068274952619126e-06
əmf,26,3.777683884574903e-06
ən,955,0.00013875723499111664
əns,162,2.3537876511582087e-05
ənt,75,1.0897165051658375e-05
ənz,32,4.649457088707573e-06
ət,257,3.7340952243682694e-05
əv,19,2.7606151464201215e-06
əz,691,0.00010039921400927916
ðeɪ,5162,0.0007500155466221404
ðeɪd,56,8.136549905238253e-06
ðeɪv,63,9.153618643393034e-06
ðəʊ,929,0.00013497955110654172
ðəʊz,882,0.00012815066100750248
ðaʊ,13,1.8888419422874516e-06
ðaʊt,581,8.441670526684688e-05
ðɛə,3132,0.0004550656125572537
ðɛəɜ˞,3353,0.0004871759255761404
ðɛəz,293,4.257159146847872e-05
ðə,288,4.184511379836816e-05
ðəɜ˞,5339,0.0007757328561440541
ðəd,80,1.1623642721768933e-05
ðəm,358,5.201580117991597e-05
ðəz,486,7.061362953474627e-05
ðɛm,2347,0.00034100861834989604
ðɛn,1881,0.000273300899495592
ðn̩,55,7.991254371216141e-06
ðɪ,31,4.5041615546854615e-06
ðɪŋ,105,1.5256031072321724e-05
ðɪn,292,4.2426295934456604e-05
ðɪs,4734,0.0006878290580606765
ðiː,60967,0.00885823282272608
ðiːz,1265,0.00018379885053797123
ðæn,1657,0.00024075469987463902
ðæt,12118,0.001760691281279949
ðæts,517,7.511779108943172e-05
ɛ,6165,0.0008957469672463183
