Number,Item,Recommendation,Item Source,Additional Guidance,Yes/No/NA,Comments or location in manuscript,Example(s),Present in the manuscript? Yes/No/NA,Comments or location in manuscript
Abstract ,,,,,,,,,
1.0,Structured or unstructured abstract,"Abstract should include information on background, methods, results, conclusions, and significance in a structured or unstructured format.",STORMS,"While the information included in this section is recommended, the word limit for the abstract (determined by the journal) must be considered. A graphical or video abstract may also be required or encouraged which should outline the major points of the manuscript.",,,,,
1.1,Study design,State study design in abstract.,STORMS,See 3.0 for additional information on study design.,,,,,
1.2,Environmental & sample information,Describe the specific environmental system and the sample types studied. ,STREAMS,"Describe the specific source(s) of the microbiome(s) - environment(s) sampled (e.g., soil) or specific host site/tissue(s) (e.g., midgut). Add the scientific names of any specific microbes or other organisms that are studied in the paper. ",,,,,
1.3,Host information (if applicable),"Describe any associated host(s) in terms of taxonomy and/or identifying characteristics or conditions (e.g., a diseased state).",STREAMS,Include number of individuals included in the study. Include the host NCBI taxonomy ID or other relevant identifying information if possible. More details about the host(s) can be reported later in the manuscript (Item 3.4).,,,,,
1.4,Experiments & omics methods,State any experimental and omics strategies used to obtain the results.,Modified STORMS,"Note any experiments performed and the data types generated (e.g., soil biogeochemistry, observational data) along with the omics methods utilized - for example, targeted ITS or 16S rRNA gene amplicon sequencing, metagenomics, metatranscriptomics, metabolomics, metaproteomics. Describe if the study was based on existing datasets.",,,,,
1.5,Analyses & results,"Briefly describe the analyses performed, the results obtained, and the significance of the results.",STREAMS,"Include a mention of the analyses performed (e.g., functional annotations), key results, and how these represent significant contributions to the broader context of the field. ",,,,,
Introduction,,,,,,,,,
2.0,Background & rationale,"Summarize the underlying motivation, background, scientific evidence, or theory driving the hypothesis or research question(s) and study objective(s). ",Modified STORMS,"Include proper references and citations to previous work in the field. If applicable, include references (including DOIs when possible) to previously generated datasets available through public repositories that this study is reusing or building upon, or are relevant to the background of the study. Describe the knowledge gap(s) in the field and how this study addresses those.",,,,,
2.1,Hypotheses or questions,"State the research question(s), aim(s), and/or objective(s) along with hypotheses (if applicable).",Modified STORMS,Describe how the research questions or hypotheses contribute to the broader significance of this area of research.,,,,,
Methods,,,,,,,,,
3.0,Study design,Describe the overall study design.,STORMS,"Describe if the study is observational or experimental, alternatively identify which aspects of the study were observational and which were experimental. Describe the spatiotemporal aspects of the study. Ensure biological and technical replicates are considered and reported here and/or in Item 6.2. Describe if the study was performed in the field, in a greenhouse, growth chamber, laboratory conditions, or other set-up. Briefly describe any key limitations to the study design. Include all other study design information relevant to the methods and results (e.g., randomization).

Describe if the study is an analysis or combined analysis of existing data and/or describe how previously published data is used alongside newly generated data. ",,,,,
3.1,Samples,State and describe all sample types involved in the study. ,STREAMS; MIxS,"Define the ID/naming scheme and if the samples have unique identifiers. Report sample metadata using MIxS standards ( https://genomicsstandardsconsortium.github.io/mixs/ ) whenever possible (report full metadata in supplementary information and/or in public repository). Provide a justification if no metadata standards are used.

If samples are constructed (e.g., a synthetic community) describe in detail the methods and all steps used to construct these samples, referring to standards in this field ( https://doi.org/10.1038/s41564-024-01833-4 ) and noting how many organisms are within the synthetic community, their taxonomy, and other relevant characteristics.

Describe and cite (e.g., publications, DOIs, accessions, catalogue information) publicly available samples and data being used if the study involves sample, synthetic community, and/or data reuse.",,,,,
