,freq,prob
jaː,19303,0.0190997028
ɪç,18267,0.0180746138
das,16420,0.0162470662
n,16191,0.016020478
dan,11181,0.0110632428
ɡə,11087,0.0109702328
tn,10200,0.0100925746
ə,10156,0.010049038
daː,9647,0.0095453988
diː,8465,0.0083758475
tə,8207,0.0081205647
s,8147,0.0080611966
dɐ,8028,0.0079434499
viːɐ,7965,0.0078811134
viː,7953,0.0078692398
ziː,7861,0.0077782087
ən,7678,0.0075971361
bɐ,7175,0.0070994336
taːk,6813,0.0067412462
nə,6526,0.0064572688
ʊn,6505,0.00643649
zo,6418,0.0063504063
miːɐ,6213,0.0061475653
ɐ,6151,0.0060862183
deːɐ,5920,0.0058576512
mɪt,5827,0.0057656306
bə,5778,0.0057171467
bɪs,5551,0.0054925374
tseːn,5462,0.0054044748
baɪ,5378,0.0053213595
də,5374,0.0053174016
tən,5255,0.0051996549
van,5207,0.0051521604
deːn,5151,0.0050967502
ɪn,5090,0.0050363926
ɡuːt,5056,0.0050027507
ɒɪç,4972,0.0049196354
tɐ,4825,0.0047741836
zoː,4645,0.0045960793
ɪs,4617,0.0045683742
oː,4606,0.0045574901
aɪn,4581,0.0045327534
uːɐ,4568,0.0045198903
nɔx,4551,0.0045030693
am,4302,0.0042566918
vɐ,4245,0.0042002921
foːɐ,4199,0.0041547766
vɔx,4184,0.0041399345
aʊx,4018,0.0039756828
vas,3903,0.003861894
an,3892,0.0038510099
aː,3838,0.0037975786
nən,3785,0.0037451368
al,3758,0.0037184211
ʊns,3647,0.0036085902
maːl,3558,0.0035205275
m,3553,0.0035155802
aɪ,3513,0.0034760014
tɛɐ,3494,0.0034572015
fɛɐ,3408,0.0033721073
rə,3348,0.0033127392
haːb,3166,0.003132656
deːm,3155,0.0031217719
draɪ,3142,0.0031089088
nɪçt,3120,0.0030871405
vʏɐ,3101,0.0030683406
miːn,3100,0.0030673511
lɪç,3088,0.0030554775
bɪn,3037,0.0030050146
fʏnf,2983,0.0029515833
ɒʊn,2946,0.002914973
vɛːɐ,2941,0.0029100257
ʊm,2924,0.0028932047
naːx,2890,0.0028595628
ɡŋ,2869,0.002838784
kœn,2857,0.0028269104
zə,2805,0.002775458
aʊs,2797,0.0027675423
ɡən,2696,0.002667606
tsaɪt,2593,0.0025656908
fraɪ,2509,0.0024825755
ɒal,2476,0.002449923
ʊnt,2460,0.0024340915
nɔʏn,2454,0.0024281547
əs,2441,0.0024152916
maɪ,2430,0.0024044075
iː,2416,0.0023905549
vɛn,2415,0.0023895655
fi,2390,0.0023648288
taː,2365,0.0023400921
dɛn,2330,0.0023054607
ɒam,2323,0.0022985344
ɒaː,2293,0.0022688504
ɒaɪn,2246,0.0022223454
aʊf,2237,0.0022134401
fɔn,2233,0.0022094823
ho,2203,0.0021797982
max,2181,0.0021580299
ɒʊnt,2159,0.0021362616
tsuː,2158,0.0021352722
mɪç,2143,0.0021204301
ap,2131,0.0021085565
zeːɐ,2125,0.0021026197
tsvaɪ,2114,0.0020917356
ɪm,2114,0.0020917356
hal,2106,0.0020838198
haːm,2092,0.0020699673
ɒɪn,2077,0.0020551252
juː,2069,0.0020472095
mm,2061,0.0020392938
trɛf,2037,0.0020155465
keː,2020,0.0019987256
ɒo,2005,0.0019838835
a,1989,0.0019680521
ʃoːn,1981,0.0019601363
ma,1977,0.0019561784
han,1949,0.0019284733
fɔm,1936,0.0019156102
yː,1924,0.0019037366
raɪ,1890,0.0018700947
fɐ,1888,0.0018681158
nɪç,1875,0.0018552527
kɔm,1864,0.0018443685
tsu,1842,0.0018226002
haː,1833,0.001813695
tɛl,1832,0.0018127056
ɒaɪ,1825,0.0018057793
laɪçt,1818,0.001798853
maɪn,1798,0.0017790636
dɔx,1795,0.0017760952
aːr,1786,0.00176719
ɡeːt,1782,0.0017632322
aʊ,1773,0.0017543269
tsʊm,1769,0.0017503691
ɪ,1750,0.0017315692
ɪst,1734,0.0017157377
mʏs,1723,0.0017048535
iːn,1720,0.0017018851
mɪ,1712,0.0016939694
ɡeː,1704,0.0016860536
fiːɐ,1673,0.0016553801
ɒan,1657,0.0016395486
hɛt,1642,0.0016247066
kan,1639,0.0016217382
fɪɐ,1614,0.0015970015
neː,1613,0.001596012
nɐ,1608,0.0015910647
diːns,1590,0.0015732543
zeːn,1583,0.001566328
və,1567,0.0015504965
tsɪç,1567,0.0015504965
zɔl,1551,0.001534665
eːɐs,1543,0.0015267493
veː,1541,0.0015247703
ɒn,1539,0.0015227914
taːx,1514,0.0014980547
ç,1508,0.0014921179
zɪç,1495,0.0014792548
moːn,1492,0.0014762864
fraʊ,1473,0.0014574865
vɛː,1470,0.0014545181
faːɐn,1465,0.0014495708
ɐs,1437,0.0014218657
fyːɐ,1426,0.0014109815
jɛts,1420,0.0014050447
hn,1418,0.0014030658
ɡuː,1412,0.001397129
naʊ,1400,0.0013852553
tsuːk,1376,0.0013615081
vaːr,1350,0.0013357819
zeː,1349,0.0013347925
ɒɪm,1345,0.0013308346
dɔn,1338,0.0013239083
ɡɛɐ,1328,0.0013140136
maː,1326,0.0013120347
ɒɛs,1323,0.0013090663
neːm,1316,0.00130214
pas,1305,0.0012912559
fluːk,1305,0.0012912559
ɒax,1303,0.0012892769
ɛs,1293,0.0012793823
mœç,1282,0.0012684981
bən,1276,0.0012625613
laɪ,1271,0.001257614
vaɪ,1269,0.001255635
vɔl,1267,0.0012536561
nuːɐ,1267,0.0012536561
klɪç,1266,0.0012526666
ɛɐ,1265,0.0012516771
ɒap,1249,0.0012358457
kə,1235,0.0012219931
hiːɐ,1229,0.0012160563
rən,1219,0.0012061616
møː,1213,0.0012002248
pro,1209,0.0011962669
ŋ,1208,0.0011952775
ɒʊm,1207,0.001194288
ɡlaɪç,1205,0.0011923091
ɒoː,1196,0.0011834038
dəs,1185,0.0011725197
ni,1180,0.0011675724
zaːŋ,1179,0.0011665829
hat,1174,0.0011616356
ɡants,1172,0.0011596566
hɛɐ,1162,0.0011497619
teː,1151,0.0011388778
tsɪs,1128,0.00111612
mɐ,1127,0.0011151306
hɪn,1125,0.0011131516
kœm,1115,0.0011032569
ɒa,1114,0.0011022675
liː,1110,0.0010983096
tsvan,1107,0.0010953412
na,1104,0.0010923728
vʏɐd,1094,0.0010824781
li,1079,0.0010676361
eː,1078,0.0010666466
ʃprɛç,1072,0.0010607098
baːr,1071,0.0010597203
man,1070,0.0010587309
ɒaʊf,1065,0.0010537835
ɡeːn,1059,0.0010478467
ɒaʊx,1055,0.0010438888
fʏ,1052,0.0010409204
mʊs,1050,0.0010389415
voː,1049,0.001037952
fʏm,1049,0.001037952
baːn,1048,0.0010369626
hoːf,1045,0.0010339942
dən,1045,0.0010339942
zɪn,1031,0.0010201416
tsvaːr,1024,0.0010132153
lə,1008,0.0009973838
kaɪ,1005,0.0009944154
tɪç,1004,0.000993426
bɪt,999,0.0009884786
dn,995,0.0009845208
ɐm,991,0.0009805629
sn,990,0.0009795734
vaɪl,985,0.0009746261
ɒɛn,975,0.0009647314
feː,974,0.0009637419
naɪn,962,0.0009518683
ziːt,952,0.0009419736
neːɐ,951,0.0009409842
re,949,0.0009390052
eːɐ,948,0.0009380158
no,946,0.0009360368
zɔn,934,0.0009241632
duː,923,0.0009132791
tsɪm,920,0.0009103107
leː,919,0.0009093212
mən,918,0.0009083317
ɒeː,918,0.0009083317
xən,917,0.0009073422
tsɪks,904,0.0008944792
tsvœlf,899,0.0008895318
rʏk,898,0.0008885424
rɛçt,897,0.0008875529
da,891,0.0008816161
ɛn,890,0.0008806266
tsn,885,0.0008756793
ax,875,0.0008657846
zaː,872,0.0008628162
ɒɪs,859,0.0008499531
ɡan,854,0.0008450058
aɪŋ,847,0.0008380795
ziːp,837,0.0008281848
zɛç,835,0.0008262059
v,830,0.0008212585
fliː,830,0.0008212585
zn,828,0.0008192796
u,817,0.0008083954
sɪç,810,0.0008014692
miː,810,0.0008014692
tsɪçs,807,0.0007985008
jan,807,0.0007985008
rɪç,804,0.0007955324
nɔ,802,0.0007935534
dam,799,0.000790585
ar,799,0.000790585
naːm,793,0.0007846482
naː,791,0.0007826693
nʊns,790,0.0007816798
zaɪn,789,0.0007806903
ɡɪŋ,789,0.0007806903
bru,788,0.0007797009
vʊn,784,0.000775743
ʃøːn,784,0.000775743
kiː,781,0.0007727746
sɪs,779,0.0007707957
ɡɔt,778,0.0007698062
ɛt,776,0.0007678272
zɛks,766,0.0007579326
fiːl,765,0.0007569431
to,763,0.0007549642
ʃtʊn,762,0.0007539747
vɛm,758,0.0007500168
ɒɛɐ,758,0.0007500168
daŋ,756,0.0007480379
rɪl,754,0.0007460589
ɡryːs,746,0.0007381432
dɛŋ,746,0.0007381432
ɒiː,743,0.0007351748
bɛs,739,0.0007312169
ɡuːn,734,0.0007262696
tsaɪ,733,0.0007252801
mə,732,0.0007242907
faŋ,732,0.0007242907
halp,731,0.0007233012
ka,730,0.0007223117
ts,722,0.000714396
z,721,0.0007134065
tsən,720,0.000712417
ʊŋ,713,0.0007054908
noː,712,0.0007045013
mɛɐts,707,0.0006995539
vaɪs,702,0.0006946066
nat,701,0.0006936171
ʃlaː,697,0.0006896593
mi,691,0.0006837225
hʊn,690,0.000682733
nɔʏ,679,0.0006718488
neːçs,678,0.0006708594
ʃlɛçt,677,0.0006698699
dɔɐt,670,0.0006629436
høːɐn,669,0.0006619542
zams,663,0.0006560174
rɛs,663,0.0006560174
hɔʏ,663,0.0006560174
sə,648,0.0006411753
haɪ,646,0.0006391964
zuː,642,0.0006352385
bm,642,0.0006352385
toː,633,0.0006263333
aːk,632,0.0006253438
bɛɐk,625,0.0006184176
ɒaʊs,624,0.0006174281
o,621,0.0006144597
nɪ,618,0.0006114913
veːɐ,615,0.0006085229
de,615,0.0006085229
fɪn,608,0.0006015966
ɐt,605,0.0005986282
laŋ,601,0.0005946703
ɡaːr,601,0.0005946703
baɪts,601,0.0005946703
ɔɐ,601,0.0005946703
vɪɐt,599,0.0005926914
las,599,0.0005926914
kaɪn,599,0.0005926914
ɪɐŋ,599,0.0005926914
moː,587,0.0005808178
tseː,584,0.0005778494
ʃaʊn,583,0.0005768599
əl,581,0.000574881
tsɛn,578,0.0005719126
deː,577,0.0005709231
çn,568,0.0005620179
mark,561,0.0005550916
haʊpt,559,0.0005531127
meːɐ,558,0.0005521232
biː,558,0.0005521232
te,557,0.0005511337
f,557,0.0005511337
ɒɛl,555,0.0005491548
zɐ,551,0.0005451969
ɡɛɐn,547,0.0005412391
bʊɐk,546,0.0005402496
loːs,545,0.0005392601
ɔp,540,0.0005343128
jeː,538,0.0005323338
ɒaxt,538,0.0005323338
fɔl,537,0.0005313444
drɪt,537,0.0005313444
ha,534,0.000528376
ʃtat,532,0.000526397
aːks,529,0.0005234286
lɛts,524,0.0005184813
çən,524,0.0005184813
vɛl,523,0.0005174918
tət,523,0.0005174918
bleːm,522,0.0005165023
fɔɐ,519,0.0005135339
zɛk,517,0.000511555
iːɐ,517,0.000511555
zɛɐ,515,0.0005095761
tsvɪʃ,515,0.0005095761
ɒe,515,0.0005095761
klaːr,513,0.0005075971
kar,503,0.0004977025
ɡɐ,500,0.0004947341
ɡʊst,498,0.0004927551
di,497,0.0004917656
nɛn,493,0.0004878078
ɡraː,491,0.0004858288
dnʊŋ,491,0.0004858288
dl,489,0.0004838499
tsuːɐ,488,0.0004828604
voːl,484,0.0004789026
mɔɐ,482,0.0004769236
kœnt,478,0.0004729658
mʏn,477,0.0004719763
daʊ,476,0.0004709868
daz,474,0.0004690079
fɛst,470,0.00046505
ɒeːɐs,469,0.0004640605
axt,465,0.0004601027
aːb,464,0.0004591132
mo,463,0.0004581237
jɛtst,461,0.0004561448
daŋk,460,0.0004551553
ɡɪ,457,0.0004521869
aɪm,457,0.0004521869
i,456,0.0004511975
fil,456,0.0004511975
ʃtɛl,451,0.0004462501
vɪ,450,0.0004452606
ɔk,449,0.0004442712
zɪnt,448,0.0004432817
tʊŋ,447,0.0004422922
fry,447,0.0004422922
dɪŋs,446,0.0004413028
aːx,446,0.0004413028
kɔn,442,0.0004373449
ɛts,442,0.0004373449
ɐn,442,0.0004373449
fn,438,0.000433387
ʃaʊ,438,0.000433387
ɒuːɐ,436,0.0004314081
ham,435,0.0004304186
daf,433,0.0004284397
niː,429,0.0004244818
ɡʊŋ,427,0.0004225029
fryː,426,0.0004215134
kaː,425,0.0004205239
zɔns,418,0.0004135977
maxt,418,0.0004135977
fax,418,0.0004135977
ʃpiːl,418,0.0004135977
ɛlf,418,0.0004135977
laɪç,417,0.0004126082
faːn,417,0.0004126082
buː,416,0.0004116187
ɡans,415,0.0004106293
fal,414,0.0004096398
mʊns,413,0.0004086503
ɒɛlf,413,0.0004086503
vɪɐ,412,0.0004076609
ɒɪst,410,0.0004056819
nɔh,408,0.000403703
beː,406,0.000401724
sʊm,405,0.0004007346
heːɐ,405,0.0004007346
as,404,0.0003997451
ze,403,0.0003987556
dɛs,402,0.0003977662
ʃtan,402,0.0003977662
tɪ,400,0.0003957872
dɪç,398,0.0003938083
tsɔʏk,397,0.0003928188
vɪs,395,0.0003908399
ʃɛfts,391,0.000386882
ruː,389,0.0003849031
ɒɪ,389,0.0003849031
la,388,0.0003839136
tsɛm,384,0.0003799558
plaːn,384,0.0003799558
oːɐ,381,0.0003769873
peː,380,0.0003759979
ʃoː,379,0.0003750084
faː,377,0.0003730295
nʊŋ,376,0.00037204
ʃlaːŋ,375,0.0003710505
tʃʏs,373,0.0003690716
aːm,373,0.0003690716
ɛl,372,0.0003680821
tɛm,369,0.0003651137
fiː,368,0.0003641243
kɔs,367,0.0003631348
zɛp,360,0.0003562085
rɛç,359,0.000355219
laʊp,359,0.000355219
çə,359,0.000355219
ɡʏns,358,0.0003542296
nuː,357,0.0003532401
faːrt,357,0.0003532401
tsvaɪns,355,0.0003512612
fən,355,0.0003512612
ns,352,0.0003482928
dʊŋ,350,0.0003463138
va,349,0.0003453244
lɛn,349,0.0003453244
ɒar,348,0.0003443349
ɛm,347,0.0003433454
veːɐn,346,0.000342356
ɡəs,346,0.000342356
ʃn,346,0.000342356
draɪns,345,0.0003413665
ɒyː,342,0.0003383981
tns,341,0.0003374086
tsə,339,0.0003354297
nɛː,337,0.0003334508
ɒʊns,337,0.0003334508
ɪns,337,0.0003334508
at,336,0.0003324613
nas,335,0.0003314718
nɪçts,335,0.0003314718
sɪçs,334,0.0003304823
rãː,333,0.0003294929
ʃɛf,333,0.0003294929
fraː,332,0.0003285034
laɪt,331,0.0003275139
nəm,330,0.0003265245
ɡʊs,329,0.000325535
xŋ,328,0.0003245455
aːmt,327,0.0003235561
zam,326,0.0003225666
rɐ,326,0.0003225666
za,325,0.0003215771
dʊɐç,325,0.0003215771
ɡlaʊb,324,0.0003205877
təs,322,0.0003186087
ɛf,322,0.0003186087
braʊ,319,0.0003156403
haʊp,318,0.0003146509
ʃpeː,318,0.0003146509
nax,317,0.0003136614
nəs,316,0.0003126719
foː,315,0.0003116825
st,313,0.0003097035
ɡɛs,313,0.0003097035
ʃtʏnt,312,0.000308714
ɒaʊ,310,0.0003067351
ta,309,0.0003057456
tɛls,309,0.0003057456
nan,307,0.0003037667
mɛn,300,0.0002968404
ʃnɛl,300,0.0002968404
ɪɐ,300,0.0002968404
ɒɛf,299,0.000295851
tɛn,298,0.0002948615
priː,297,0.000293872
kʊɐts,297,0.000293872
halt,296,0.0002928826
ʃlaːk,296,0.0002928826
ɡram,295,0.0002918931
ɛnt,295,0.0002918931
ɔn,290,0.0002869457
ɔf,290,0.0002869457
ziːm,289,0.0002859563
zən,285,0.0002819984
rəs,283,0.0002800195
ʃaʊt,283,0.0002800195
yːɐ,281,0.0002780405
vɛk,281,0.0002780405
xə,280,0.0002770511
sɐ,279,0.0002760616
sɪks,278,0.0002750721
mʊz,277,0.0002740827
dɛŋk,277,0.0002740827
tuːt,276,0.0002730932
lən,276,0.0002730932
tu,275,0.0002721037
fɛːɐ,275,0.0002721037
maɪm,273,0.0002701248
buːx,272,0.0002691353
tʊns,271,0.0002681459
tɪk,271,0.0002681459
nɛt,270,0.0002671564
past,269,0.0002661669
sns,267,0.000264188
haɪs,267,0.000264188
tiːf,266,0.0002631985
mɔɐŋs,266,0.0002631985
tja,265,0.000262209
sən,265,0.000262209
mhm,265,0.000262209
tsəl,264,0.0002612196
traːl,264,0.0002612196
ɡiːp,264,0.0002612196
viːɐn,263,0.0002602301
d,263,0.0002602301
als,263,0.0002602301
kœ,262,0.0002592406
nɛ,261,0.0002582512
vɛːɐn,260,0.0002572617
nt,259,0.0002562722
ʏl,259,0.0002562722
frɔʏ,258,0.0002552828
mœçt,257,0.0002542933
ɒɛm,257,0.0002542933
baɪm,256,0.0002533038
bɛɐ,256,0.0002533038
tsm,255,0.0002523144
tɪʃ,255,0.0002523144
mar,255,0.0002523144
ʃlɛç,255,0.0002523144
zɪs,254,0.0002513249
rɛk,254,0.0002513249
hɛ,252,0.000249346
ʃlɔs,252,0.000249346
rʊm,251,0.0002483565
ɡlaʊ,251,0.0002483565
ɒi,250,0.000247367
praɪs,248,0.0002453881
fe,248,0.0002453881
zaːm,247,0.0002443986
dɐt,247,0.0002443986
ɪt,247,0.0002443986
vaːl,246,0.0002434092
plats,246,0.0002434092
faʊ,246,0.0002434092
zaːk,244,0.0002414302
var,244,0.0002414302
tsɛt,243,0.0002404407
mu,243,0.0002404407
ʃøː,243,0.0002404407
dɔp,242,0.0002394513
rʊŋ,241,0.0002384618
fɛɐn,241,0.0002384618
kʊk,239,0.0002364829
dar,239,0.0002364829
ɡiːt,238,0.0002354934
ʃaɪn,238,0.0002354934
zɛt,237,0.0002345039
suː,237,0.0002345039
haɪm,237,0.0002345039
fɛs,237,0.0002345039
taːks,234,0.0002315355
ɪz,234,0.0002315355
mɔɐŋ,233,0.0002305461
kʏm,233,0.0002305461
haːp,233,0.0002305461
təl,232,0.0002295566
bɔn,232,0.0002295566
draʊf,231,0.0002285671
diːɐ,229,0.0002265882
vɪç,228,0.0002255987
ɡaŋ,228,0.0002255987
ɒaɪŋ,227,0.0002246093
ɡiːpt,225,0.0002226303
høːɐt,224,0.0002216409
raʊs,223,0.0002206514
bənt,223,0.0002206514
eːɐst,222,0.0002196619
ɒɛt,222,0.0002196619
ʃta,221,0.0002186725
pɛɐ,219,0.0002166935
hŋ,219,0.0002166935
ʃtraː,219,0.0002166935
kans,218,0.000215704
kaɪt,216,0.0002137251
le,215,0.0002127356
uː,214,0.0002117462
nuːn,214,0.0002117462
veːɐd,213,0.0002107567
nʊn,211,0.0002087778
kɛn,211,0.0002087778
roː,210,0.0002077883
haʊ,209,0.0002067988
riː,208,0.0002058094
plaː,208,0.0002058094
raː,206,0.0002038304
tɐn,205,0.000202841
faɪ,204,0.0002018515
ti,203,0.000200862
fɪl,203,0.000200862
vɔlt,200,0.0001978936
ɡənt,200,0.0001978936
pɐ,199,0.0001969042
zəs,198,0.0001959147
tsɛs,198,0.0001959147
e,198,0.0001959147
ɒɛnt,198,0.0001959147
tɛ,197,0.0001949252
ʃtɪm,197,0.0001949252
vɪl,196,0.0001939357
tuːn,196,0.0001939357
ʃiː,196,0.0001939357
ʊ,195,0.0001929463
ənt,195,0.0001929463
taːl,194,0.0001919568
flyː,194,0.0001919568
ɡraːd,193,0.0001909673
fyː,193,0.0001909673
ɪf,193,0.0001909673
vaɪt,192,0.0001899779
raɪn,191,0.0001889884
ʃtʏk,191,0.0001889884
tɔʏ,190,0.0001879989
l,190,0.0001879989
zaʊ,189,0.0001870095
lɐ,189,0.0001870095
vi,187,0.0001850305
baː,187,0.0001850305
haʊs,186,0.0001840411
fl,186,0.0001840411
fa,186,0.0001840411
