User,Epsilon,Maximun Error,Execution time
S12 POSTEST 1,11.8,2.4,246.9798
S02 post,11.0,4.19,38.9241
S19 POST PARTE1,10.7,3.78,69.646
S01post,11.4,3.62,65.7965
S14 POST PARTE 1,12.4,3.56,76.4574
s25 post parte1,10.1,3.23,14.2468
S07 POST PARTE1,15.3,4.02,115.3064
S09 POST PARTE 1,11.0,3.38,262.5456
s21 post1,8.6,4.04,69.8844
S23 POST 1,9.9,4.09,37.7991
S11 POST,11.5,4.76,139.4177
s13 post parte,11.6,4.66,196.7623
S04Post,6.7,3.04,45.6048
S05 post parte 1,1.2,4.31,50.0277
S06 DIA 2 PARTE 1,9.7,3.09,151.8658
S08 POST PARTE 1,14.1,4.34,146.2812
S24 POST PARTE1,14.9,3.66,75.9832
s18 post parte1,14.2,2.73,226.8323
S16 POST PARTE 1,6.8,3.33,32.0905
S03 Post,10.7,3.53,333.6575
