dataset,AOI,percent_error
dataset_3000,subevent_3,3.58
dataset_3000,subevent_1,1.02
dataset_3000,subevent_0,0.79
dataset_3000,subevent_2,0.51
dataset_5000,subevent_2,2.89
dataset_5000,subevent_0,0.41
dataset_5000,subevent_1,2.92
dataset_5000,subevent_3,4.9
dataset_4000,subevent_3,1.17
dataset_4000,subevent_0,1.67
dataset_4000,subevent_2,3.13
dataset_4000,subevent_1,3.63
dataset_6000,subevent_1,1.19
dataset_6000,subevent_2,3.48
dataset_6000,subevent_0,1.39
dataset_6000,subevent_3,3.42
dataset_7000,subevent_0,0.87
dataset_7000,subevent_1,1.94
dataset_7000,subevent_2,4.38
dataset_7000,subevent_3,2.68

dataset_3000,subevent_3,3.58
dataset_4000,subevent_3,1.17
dataset_5000,subevent_3,4.9
dataset_6000,subevent_3,3.42
dataset_7000,subevent_3,2.68
