dataset,AOI,percent_error
dataset_7000,subevent_2,1.51
dataset_7000,subevent_3,1.99
dataset_7000,subevent_1,0.5
dataset_7000,subevent_0,4.31
dataset_6000,subevent_1,0.87
dataset_6000,subevent_3,3.02
dataset_6000,subevent_0,1.67
dataset_6000,subevent_2,0.33
dataset_4000,subevent_3,0.56
dataset_4000,subevent_1,4.34
dataset_4000,subevent_0,2.29
dataset_4000,subevent_2,1.57
dataset_5000,subevent_3,3.39
dataset_5000,subevent_2,0.47
dataset_5000,subevent_0,0.66
dataset_5000,subevent_1,0.11
dataset_3000,subevent_1,1.86
dataset_3000,subevent_3,4.63
dataset_3000,subevent_0,1.38
dataset_3000,subevent_2,0.84
